| time |reset|       out        |
| 0+   |   0 | 0000000000000000 |
| 1    |   0 | 0000000000000001 |
| 1+   |   0 | 0000000000000001 |
| 2    |   0 | 0000000000000011 |
| 2+   |   0 | 0000000000000011 |
| 3    |   0 | 0000000000000101 |
| 3+   |   0 | 0000000000000101 |
| 4    |   0 | 0000000000000111 |
| 4+   |   1 | 0000000000000111 |
| 5    |   1 | 0000000000000001 |
| 5+   |   1 | 0000000000000001 |
| 6    |   1 | 0000000000000001 |
| 6+   |   0 | 0000000000000001 |
| 7    |   0 | 0000000000000011 |
| 7+   |   0 | 0000000000000011 |
| 8    |   0 | 0000000000000101 |
