| time |   in   |load |address|  out   |
| 0+   |      0 |  0  |   0   |      0 |
| 1    |      0 |  0  |   0   |      0 |
| 1+   |      0 |  1  |   0   |      0 |
| 2    |      0 |  1  |   0   |      0 |
| 2+   |  11111 |  0  |   0   |      0 |
| 3    |  11111 |  0  |   0   |      0 |
| 3+   |  11111 |  1  |   1   |      0 |
| 4    |  11111 |  1  |   1   |  11111 |
| 4+   |  11111 |  0  |   0   |      0 |
| 5    |  11111 |  0  |   0   |      0 |
| 5+   |   3333 |  0  |   3   |      0 |
| 6    |   3333 |  0  |   3   |      0 |
| 6+   |   3333 |  1  |   3   |      0 |
| 7    |   3333 |  1  |   3   |   3333 |
| 7+   |   3333 |  0  |   3   |   3333 |
| 8    |   3333 |  0  |   3   |   3333 |
| 8    |   3333 |  0  |   1   |  11111 |
| 8+   |   7777 |  0  |   1   |  11111 |
| 9    |   7777 |  0  |   1   |  11111 |
| 9+   |   7777 |  0  |   0   |      0 |
| 10   |   7777 |  0  |   0   |      0 |
| 10   |   7777 |  0  |   1   |  11111 |
| 10   |   7777 |  0  |   2   |      0 |
| 10   |   7777 |  0  |   3   |   3333 |
| 10+  |  21845 |  1  |   0   |      0 |
| 11   |  21845 |  1  |   0   |  21845 |
| 11+  |  21845 |  1  |   1   |  11111 |
| 12   |  21845 |  1  |   1   |  21845 |
| 12+  |  21845 |  1  |   2   |      0 |
| 13   |  21845 |  1  |   2   |  21845 |
| 13+  |  21845 |  1  |   3   |   3333 |
| 14   |  21845 |  1  |   3   |  21845 |
| 14+  |  21845 |  0  |   0   |  21845 |
| 15   |  21845 |  0  |   0   |  21845 |
| 15   |  21845 |  0  |   1   |  21845 |
| 15   |  21845 |  0  |   2   |  21845 |
| 15   |  21845 |  0  |   3   |  21845 |
| 15+  | -21846 |  1  |   0   |  21845 |
| 16   | -21846 |  1  |   0   | -21846 |
| 16+  | -21846 |  0  |   0   | -21846 |
| 17   | -21846 |  0  |   0   | -21846 |
| 17   | -21846 |  0  |   1   |  21845 |
| 17   | -21846 |  0  |   2   |  21845 |
| 17   | -21846 |  0  |   3   |  21845 |
| 17+  |  21845 |  1  |   0   | -21846 |
| 18   |  21845 |  1  |   0   |  21845 |
| 18+  | -21846 |  1  |   1   |  21845 |
| 19   | -21846 |  1  |   1   | -21846 |
| 19+  | -21846 |  0  |   0   |  21845 |
| 20   | -21846 |  0  |   0   |  21845 |
| 20   | -21846 |  0  |   1   | -21846 |
| 20   | -21846 |  0  |   2   |  21845 |
| 20   | -21846 |  0  |   3   |  21845 |
| 20+  |  21845 |  1  |   1   | -21846 |
| 21   |  21845 |  1  |   1   |  21845 |
| 21+  | -21846 |  1  |   2   |  21845 |
| 22   | -21846 |  1  |   2   | -21846 |
| 22+  | -21846 |  0  |   0   |  21845 |
| 23   | -21846 |  0  |   0   |  21845 |
| 23   | -21846 |  0  |   1   |  21845 |
| 23   | -21846 |  0  |   2   | -21846 |
| 23   | -21846 |  0  |   3   |  21845 |
| 23+  |  21845 |  1  |   2   | -21846 |
| 24   |  21845 |  1  |   2   |  21845 |
| 24+  | -21846 |  1  |   3   |  21845 |
| 25   | -21846 |  1  |   3   | -21846 |
| 25+  | -21846 |  0  |   0   |  21845 |
| 26   | -21846 |  0  |   0   |  21845 |
| 26   | -21846 |  0  |   1   |  21845 |
| 26   | -21846 |  0  |   2   |  21845 |
| 26   | -21846 |  0  |   3   | -21846 |
| 26+  |  21845 |  1  |   3   | -21846 |
| 27   |  21845 |  1  |   3   |  21845 |
| 27+  |  21845 |  0  |   0   |  21845 |
| 28   |  21845 |  0  |   0   |  21845 |
| 28   |  21845 |  0  |   1   |  21845 |
| 28   |  21845 |  0  |   2   |  21845 |
| 28   |  21845 |  0  |   3   |  21845 |
